RSRP_S,RSRP_t,Tr,S,T
-83.192,-84.784,63,4,28
-66.189,-70.347,50,28,1
-71.986,-83.088,102,1,7
-82.4,-84.456,975,7,2
-77.647,-83.654,231,2,1
-75.784,-83.852,336,1,4
-80.719,-83.724,834,4,33
-80.201,-82.353,150,33,5
-69.11,-83.633,482,5,4
-72.526,-83.789,228,4,11
-69.387,-82.932,243,11,3
-69.994,-80.681,132,3,27
-76.587,-78.8,51,27,1
-77.983,-81.58,43,1,6
-74.979,-79.333,33,6,1
-72.834,-75.754,33,1,27
-73.649,-73.498,14,27,3
-79.646,-82.574,897,3,27
-71.744,-82.34,66,27,1
-81.43,-83.925,101,1,7
-80.965,-80.784,26,7,31
-76.049,-78.039,49,31,37
-77.09,-81.92,60,37,6
-81.693,-83.819,81,6,17
-81.526,-84.788,78,17,16
-82.268,-83.135,58,16,36
-67.246,-74.997,51,36,15
-67.425,-68.674,66,15,22
-72.403,-80.048,5,22,5
-80.05,-80.156,10,5,1
-70.324,-67.818,15,1,27
-76.005,-80.619,6,27,2
-83.711,-83.7,6,2,9
-82.91,-84.625,90,9,2
-70.089,-82.494,396,2,27
-81.288,-81.685,17,27,1
-72.672,-78.254,146,1,28
-77.205,-78.416,34,28,1
-76.187,-79.097,36,1,27
-66.123,-66.627,21,27,2
-74.282,-77.404,36,2,44
-72.131,-78.944,120,44,2
-79.313,-86.39,341,2,19
-83.907,-84.209,60,19,7
-75.632,-83.633,998,7,1
-69.219,-83.723,434,1,4
-71.304,-85.179,696,4,3
-81.936,-83.214,181,3,27
-67.182,-81.63,43,41,3
-69.476,-82.664,98,3,1
-76.525,-74.014,34,1,28
-71.072,-75.62,21,28,20
-78.831,-79.812,20,20,5
-82.055,-83.83,113,5,6
-69.372,-83.871,867,6,17
-81.114,-83.344,64,17,6
-69.159,-83.263,216,6,5
-68.458,-81.67,205,5,33
-77.871,-78.155,40,33,13
-68.323,-84.454,369,13,5
-75.766,-78.54,204,5,22
-79.931,-85.442,79,22,15
-83.471,-83.883,63,15,6
-80.918,-83.663,155,6,16
-79.405,-83.622,582,16,6
-70.391,-84.367,305,6,1
-79.526,-82.854,78,1,6
-75.124,-77.374,50,6,36
-82.78,-81.258,574,36,6
-69.708,-79.072,34,6,1
-75.614,-76.735,28,1,27
-68.663,-67.655,15,27,2
-83.873,-84.054,12,2,9
-72.298,-80.838,82,9,2
-70.963,-78.676,50,2,42
-75.175,-74.594,13,42,7
-68.604,-76.219,37,7,45
-74.111,-73.567,15,45,17
-76.507,-77.473,38,17,45
-70.658,-81.333,204,45,7
-77.016,-75.438,98,7,31
-66.522,-79.185,183,31,7
-80.83,-84.419,189,7,1
-80.376,-84.386,495,1,7
